"Id","Lon","Lat"
"Eurypyga helias",-61.82733,8.018793
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-69.255032,7.552352
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-69.255032,7.552352
"Eurypyga helias",-66.360907,5.002898
"Eurypyga helias",-69.255032,7.552352
"Eurypyga helias",-69.255032,7.552352
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-66.11832,5.61103
"Eurypyga helias",-67.543542,7.821089
"Eurypyga helias",-67.576415,5.605018
"Eurypyga helias",-67.543542,7.821089
"Eurypyga helias",-62.529768,7.341799
"Eurypyga helias",-71.281597,7.61777
"Eurypyga helias",-66.686694,6.567208
"Eurypyga helias",-84.0128,10.4288
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-69.265245,7.439258
"Eurypyga helias",-66.360907,5.002898
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-61.642891,8.044884
"Eurypyga helias",-69.265245,7.439258
"Eurypyga helias",-80.139213,8.622138
"Eurypyga helias",-66.379977,4.998369
"Eurypyga helias",-68.999612,7.762617
"Eurypyga helias",-73.408572,-4.353076
"Eurypyga helias",-63.09062,10.457259
"Eurypyga helias",-65.420704,8.420865
"Eurypyga helias",-66.379977,4.998369
"Eurypyga helias",-76.149341,-0.637584
"Eurypyga helias",-76.149341,-0.637584
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-63.028693,10.43717
"Eurypyga helias",-66.242065,5.676118
"Eurypyga helias",-67.384171,8.855221
"Eurypyga helias",-64.997538,7.072601
"Eurypyga helias",-61.58057,4.54563
"Eurypyga helias",-83.880744,9.271514
"Eurypyga helias",-61.31907,4.6023
"Eurypyga helias",-62.038143,7.903724
"Eurypyga helias",-61.58057,4.54563
"Eurypyga helias",-62.915611,9.915843
"Eurypyga helias",-61.5244,4.54205
"Eurypyga helias",-61.62782,4.56078
"Eurypyga helias",-70.84744,6.547182
"Eurypyga helias",-83.999315,10.468814
"Eurypyga helias",-75.732665,1.396885
"Eurypyga helias",-59.393012,3.561609
"Eurypyga helias",-73.808384,2.181203
"Eurypyga helias",-72.119408,5.618036
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-71.975813,4.388774
"Eurypyga helias",-56.877233,-16.758115
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-70.413909,5.538762
"Eurypyga helias",-56.69135,-16.456923
"Eurypyga helias",-56.775112,-17.364524
"Eurypyga helias",-55.931108,-9.597261
